Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
25000.0,2008-11-24,p2pConsol,719.0,30.76%,606xx,IL,1 year,0.0
3000.0,2009-01-01,Fixing our plumbing,620.0,14.25%,495xx,MI,< 1 year,0.0
11625.0,2008-01-31,Debt Consolidation,654.0,26.52%,958xx,CA,< 1 year,0.0
5000.0,2009-01-13,money for a car,661.0,8.23%,908xx,CA,1 year,0.0
5000.0,2007-12-10,lrm,637.0,21.57%,666xx,KS,2 years,0.0
10000.0,2009-03-31,Hoover Special Investigations,601.0,17.35%,460xx,KY,< 1 year,0.0
3000.0,2008-01-13,rmhorton,445.0,27.82%,318xx,GA,10+ years,0.0
8125.0,2009-03-20,Trying To Save My House,489.0,22.8%,982xx,WA,10+ years,0.0
12000.0,2008-12-09,Startup to buy radio station,588.0,0%,881xx,NM,1 year,0.0
6000.0,2008-03-09,Trying to get ahead,510.0,33.78%,953xx,CA,7 years,0.0
5000.0,2008-06-26,Credit Card,516.0,19.71%,207xx,MD,< 1 year,0.0
9000.0,2009-04-14, ,751.0,0%,331xx,FL,< 1 year,0.0
5000.0,2009-05-04, ,650.0,28.99%,109xx,NY,2 years,0.0
5000.0,2009-05-04,Help with Moving Expenses ,570.0,0%,330xx,FL,< 1 year,0.0
5000.0,2009-01-14,Temporary Student Loan,660.0,0%,191xx,PA,< 1 year,0.0
3000.0,2008-11-01,Student Loan,596.0,12.48%,328xx,FL,< 1 year,0.0
7200.0,2008-02-27,parrotsave,503.0,0%,890xx,NV,< 1 year,0.0
10000.0,2009-04-25, ,703.0,0%,198xx,DE,2 years,0.0
4500.0,2008-11-08, ,669.0,10.01%,405xx,KY,1 year,0.0
5000.0,2009-04-09,Utilities and credit cards,423.0,5.06%,146xx,NY,8 years,0.0
1000.0,2009-05-13,School tuition,607.0,89.1%,797xx,TX,< 1 year,0.0
2000.0,2008-01-01,virgin islands,511.0,4.93%,008xx,FL,4 years,0.0
10000.0,2009-02-22,cheaper rate,677.0,26.25%,441xx,OH,10+ years,0.0
3000.0,2008-03-22,Car Loan,465.0,13.64%,390xx,MS,1 year,0.0
7000.0,2008-11-12,personal,715.0,13.84%,232xx,VA,10+ years,0.0
3500.0,2007-06-08,tmsworld,583.0,3.12%,100xx,NY,< 1 year,0.0
9000.0,2009-03-08,Consolidation Loan,651.0,33.52%,320xx,FL,9 years,0.0
23000.0,2009-05-12,Jasmine Kelly,0.0,24%,430xx,OH,< 1 year,0.0
25000.0,2008-03-24,business loan,0.0,0%,483xx,MI,3 years,0.0
5000.0,2008-05-18,Please Help Me To Build My Credit!,644.0,13.78%,469xx,IN,2 years,0.0
12500.0,2008-10-22, ,682.0,31.24%,142xx,NY,3 years,0.0
10000.0,2008-12-17,Starting a Buisness,0.0,0%,232xx,VA,2 years,0.0
8000.0,2009-04-17,Moving,529.0,7.69%,730xx,OK,9 years,0.0
7500.0,2008-08-19,Pay off high interest rate credit debt,616.0,33.98%,189xx,PA,1 year,0.0
16400.0,2008-11-05,Car Loan Needed,449.0,18.21%,981xx,WA,2 years,0.0
7500.0,2008-06-10,Pay Hospital Bills,603.0,10.37%,727xx,AR,< 1 year,0.0
15000.0,2008-02-18,helpingothers,699.0,9.39%,430xx,OH,4 years,0.0
4000.0,2008-12-23,Consolidating credit cards ,578.0,14.67%,305xx,GA,4 years,0.0
7500.0,2008-05-13,personal loan,747.0,7.13%,721xx,AR,10+ years,0.0
3000.0,2008-01-14,courttim05,494.0,116.04%,190xx,PA,1 year,0.0
5000.0,2008-04-23,Business Loan,549.0,0.69%,630xx,MO,4 years,0.0
6000.0,2009-03-22,credit card debt,698.0,35.4%,982xx,WA,< 1 year,0.0
4000.0,2009-03-29,I HAVE TO MOVE ASAP,524.0,0%,606xx,IL,3 years,0.0
5000.0,2007-11-03,personal loan,642.0,11.4%,535xx,WI,1 year,0.0
20000.0,2009-02-16,Florida Expansion,720.0,0%,662xx,KS,2 years,0.0
5000.0,2007-11-10,Debt Payback,659.0,3.36%,089xx,NJ,< 1 year,0.0
3800.0,2009-03-19,consolidating 3 credit cards down to 1,633.0,5%,212xx,MD,1 year,0.0
7500.0,2008-04-25,Project Loan,744.0,26.71%,906xx,CA,2 years,0.0
4000.0,2008-06-16,Paying off Truck and High Rate Cards,680.0,11.04%,871xx,NM,< 1 year,0.0
12000.0,2009-04-30,My daughter's wedding,573.0,18.42%,800xx,CO,10+ years,0.0
12000.0,2008-10-15, ,635.0,11.44%,077xx,NJ,6 years,0.0
18000.0,2008-10-22, ,703.0,29.35%,220xx,VA,< 1 year,0.0
5000.0,2009-04-12, ,717.0,3%,943xx,CA,< 1 year,0.0
10000.0,2009-04-09,credit line,536.0,22.78%,785xx,TX,< 1 year,0.0
7200.0,2009-02-13, ,567.0,2.91%,761xx,TX,2 years,0.0
3500.0,2008-10-15,Medical bills,646.0,34.25%,441xx,OH,1 year,0.0
10000.0,2009-03-05,"goodbye, high interest credit card debts",685.0,67.6%,652xx,MO,2 years,0.0
1000.0,2009-03-18,Credit card Consolidate,618.0,17.6%,402xx,KY,10+ years,0.0
5000.0,2008-06-28,  furnishing my dream home,647.0,165.36%,777xx,TX,2 years,0.0
5000.0,2008-12-11,One payment instead of three,586.0,18.15%,142xx,NY,3 years,0.0
8500.0,2008-03-09,pay my taxes,497.0,43.59%,650xx,MO,5 years,0.0
5000.0,2009-03-05,Family business,715.0,1.44%,030xx,MA,10+ years,0.0
7500.0,2008-09-05,home care investment,756.0,58.28%,379xx,TN,< 1 year,0.0
1000.0,2008-10-22,Need a vehicle desperately!!,519.0,0%,973xx,OR,6 years,0.0
20000.0,2009-04-07,upgrading homes ,576.0,8.47%,310xx,GA,3 years,0.0
25000.0,2009-04-22,College Money,691.0,42.65%,071xx,NJ,1 year,0.0
12500.0,2009-02-22,Credit Consolidation,654.0,10.22%,024xx,MA,< 1 year,0.0
800.0,2007-10-28,brandirocks336,471.0,9.47%,272xx,NC,1 year,0.0
14000.0,2008-02-15,ian,546.0,28.74%,801xx,CO,10+ years,0.0
7500.0,2008-07-28,Paying down higher interest credit card,696.0,2.76%,604xx,IL,< 1 year,0.0
3000.0,2008-04-22,For my family,441.0,279.6%,047xx,ME,< 1 year,0.0
15000.0,2008-07-22,Help me get in control.,687.0,57.95%,853xx,AZ,8 years,0.0
10000.0,2008-10-15,Loan 1,671.0,15.34%,906xx,CA,2 years,0.0
25000.0,2009-05-14,Loan to help get out of our recession,632.0,10.14%,334xx,FL,4 years,0.0
5000.0,2008-03-28,Help me please!,530.0,2.84%,454xx,OH,2 years,0.0
5000.0,2008-12-14, ,734.0,25.76%,254xx,WV,2 years,0.0
1000.0,2008-08-10,personal,402.0,21%,809xx,CO,7 years,0.0
8000.0,2009-04-10,Going to school for a better job,516.0,30%,458xx,OH,< 1 year,0.0
5000.0,2009-03-31,dental and household bills,691.0,32.15%,211xx,MD,2 years,0.0
6500.0,2009-05-08,VACATION,640.0,148.29%,777xx,TX,2 years,0.0
5000.0,2008-09-02,Personal Loan,628.0,1%,120xx,NY,1 year,0.0
10000.0,2008-12-11,Small Business start-up loan,496.0,3%,782xx,TX,1 year,0.0
7700.0,2008-11-30,ReFi Car,647.0,4.78%,020xx,MA,< 1 year,0.0
13000.0,2009-01-19,2006 HONDA ACCORD PURCHASE FROM PRIVATE ,609.0,0.6%,303xx,GA,1 year,0.0
9000.0,2009-03-19,motorcycle loan,559.0,29.52%,984xx,WA,1 year,0.0
2000.0,2009-03-21,Addition,439.0,15.56%,487xx,MN,4 years,0.0
1000.0,2009-02-05,Bollman guestroom,696.0,24.94%,967xx,HI,10+ years,0.0
5000.0,2009-04-21,Credit Card Dept,670.0,2.86%,080xx,NJ,1 year,0.0
1000.0,2009-02-10,getting out of debt,0.0,1.5%,770xx,TX,< 1 year,0.0
19000.0,2008-02-07,KATIEM,748.0,11.12%,077xx,NJ,10+ years,0.0
5000.0,2009-04-27,Need loan to improve home for child,499.0,34.04%,615xx,IL,< 1 year,0.0
2000.0,2008-12-28,Auto Loan,470.0,8.77%,853xx,AZ,1 year,0.0
3000.0,2008-07-12, ,680.0,7.63%,148xx,NY,2 years,0.0
25000.0,2008-03-19,consolidation,657.0,10.96%,273xx,NC,1 year,0.0
1000.0,2009-03-04,to better myself,507.0,272.47%,212xx,MD,5 years,0.0
10000.0,2009-05-07,Single mother trying to go to school,538.0,684%,660xx,KS,< 1 year,0.0
18334.0,2009-01-14, ,663.0,5.33%,606xx,IL,3 years,0.0
4000.0,2008-01-08,DianaP17,514.0,36.94%,953xx,CA,3 years,0.0
1200.0,2008-06-12,Last Minute Wedding Expenses,510.0,38.48%,494xx,MI,< 1 year,0.0
18000.0,2009-01-28, ,755.0,21.69%,608xx,IL,6 years,0.0
10000.0,2008-02-10,licia295,646.0,24.12%,303xx,GA,2 years,0.0
20000.0,2008-03-31,did'nt realise how easy this could be.,725.0,8.78%,117xx,NY,9 years,0.0
6000.0,2009-01-21,115hp Yamaha Outboard Engine,769.0,7.77%,330xx,FL,2 years,0.0
20000.0,2008-04-01,paying debt,630.0,734.4%,121xx,NY,< 1 year,0.0
5500.0,2008-04-22, ,704.0,30.51%,981xx,WA,< 1 year,0.0
4500.0,2009-01-19,4500 for my education,613.0,11.2%,141xx,NY,3 years,0.0
10000.0,2008-12-28,Paying off bills,434.0,0%,980xx,WA,< 1 year,0.0
6000.0,2009-03-12,Mortgage Rental Payment,435.0,6.06%,750xx,TX,10+ years,0.0
15335.0,2009-04-01, ,688.0,33.85%,707xx,LA,1 year,0.0
25000.0,2008-01-29,baabyg,652.0,16.27%,935xx,CA,10+ years,0.0
10000.0,2009-03-03,During the past few months,524.0,26.91%,726xx,AR,7 years,0.0
12000.0,2009-02-25,Need to buy a new car!,624.0,23.16%,441xx,OH,1 year,0.0
10000.0,2009-05-11,personal,518.0,0%,087xx,NJ,4 years,0.0
7000.0,2008-04-29,debt destroyer,474.0,14.31%,071xx,NJ,2 years,0.0
7000.0,2008-07-03,father of 4 needs a break ,481.0,14.24%,786xx,TX,2 years,0.0
3000.0,2008-10-16,I want to get married in January,621.0,26.01%,600xx,IL,4 years,0.0
2000.0,2009-05-12,Flight School,456.0,1.22%,286xx,SC,2 years,0.0
7500.0,2008-08-27,Pay-off High Interest Credit Card,666.0,47.53%,853xx,AZ,10+ years,0.0
4000.0,2009-04-19, ,662.0,2.4%,076xx,NJ,1 year,0.0
15000.0,2008-03-14,debt_consolidation,670.0,49.05%,765xx,TX,< 1 year,0.0
15000.0,2009-04-26,education loan,620.0,16.87%,105xx,NY,4 years,0.0
1000.0,2009-04-10,Home Improvement,0.0,0%,704xx,LA,3 years,0.0
3000.0,2008-05-26,Motercycle Loan,482.0,0%,767xx,TX,< 1 year,0.0
6500.0,2008-06-20,Business Inventory Financing,664.0,0.84%,907xx,CA,3 years,0.0
10000.0,2009-03-09,vacation,768.0,5.05%,238xx,VA,10+ years,0.0
25000.0,2009-01-26,Express Employment Professionals,711.0,28.36%,945xx,CA,1 year,0.0
18000.0,2009-04-09,pay off,0.0,0%,935xx,CA,10+ years,0.0
25000.0,2008-10-18,Situation redevelopment,608.0,46.19%,322xx,FL,1 year,0.0
18000.0,2009-03-07,Removal of high interest CC debit,628.0,37.26%,630xx,MO,2 years,0.0
15000.0,2008-12-08,Invest in Foreclosures,712.0,4.62%,773xx,TX,1 year,0.0
20000.0,2008-04-06,Still paying off college,723.0,30.39%,199xx,DE,7 years,0.0
3000.0,2009-03-31,Personal Loan,734.0,0.82%,958xx,CA,2 years,0.0
1000.0,2007-11-09,mrs_barbie,544.0,23.37%,432xx,OH,7 years,0.0
10000.0,2009-03-18,Yamaha Motorcycle,676.0,3.07%,171xx,PA,5 years,0.0
19000.0,2008-01-17,regularguy,524.0,25.56%,190xx,PA,5 years,0.0
6000.0,2009-05-12,Undergrad Educational Loan,687.0,0.96%,320xx,FL,1 year,0.0
10000.0,2007-11-24,smitty30,620.0,0%,070xx,NJ,10+ years,0.0
16000.0,2009-05-12,abdominal plasty (tummy tuck),728.0,7.42%,180xx,PA,10+ years,0.0
10000.0,2008-12-03,Personal unsecure loan,731.0,17.85%,900xx,CA,2 years,0.0
20000.0,2009-02-26,BAKERY RENOVATION,588.0,6.8%,923xx,CA,1 year,0.0
24000.0,2008-11-17,Business funding - liquor store,684.0,1.12%,554xx,MN,< 1 year,0.0
2000.0,2009-05-06,Overpayment Coverage,467.0,0%,393xx,MS,3 years,0.0
15000.0,2009-04-20,slu,629.0,25.2%,704xx,LA,< 1 year,0.0
2000.0,2009-05-14, ,637.0,45.97%,967xx,HI,9 years,0.0
5500.0,2009-03-31,personal,683.0,127.59%,335xx,FL,10+ years,0.0
6500.0,2008-04-15,Need help consolidating family's debt,461.0,13.59%,760xx,TX,2 years,0.0
7500.0,2008-04-08,personal,497.0,43.14%,112xx,NY,4 years,0.0
20000.0,2007-07-01,coldspring2000,724.0,19.49%,410xx,KY,3 years,0.0
25000.0,2008-04-06,Lower Rate for Auto,448.0,21.4%,786xx,TX,1 year,0.0
10000.0,2007-11-07,FiddleFort,634.0,23.43%,840xx,UT,< 1 year,0.0
7500.0,2008-08-04,Want to get out of debt,0.0,0%,080xx,NJ,1 year,0.0
5000.0,2008-04-23,Getting out from under,503.0,55.5%,530xx,WI,9 years,0.0
4000.0,2009-03-12, ,724.0,0%,450xx,OH,3 years,0.0
1000.0,2008-12-28,necessity,498.0,2.45%,113xx,NY,3 years,0.0
14000.0,2008-11-26,Consolidate loans,664.0,34.27%,951xx,CA,7 years,0.0
10000.0,2008-01-06,seapacer,677.0,5.35%,945xx,CA,10+ years,0.0
2000.0,2009-05-09,for living expences,0.0,0%,718xx,AR,< 1 year,0.0
5900.0,2008-10-20,Taking care of back taxes,0.0,0%,553xx,MN,10+ years,0.0
23000.0,2008-01-18,Loan with Confidence,713.0,27.96%,608xx,IL,10+ years,0.0
1000.0,2009-02-15,need to move,423.0,36.67%,191xx,PA,10+ years,0.0
5000.0,2009-03-08,Looking for a loan secured by my pension,567.0,13.91%,784xx,TX,10+ years,0.0
17000.0,2009-02-11, ,709.0,39.19%,554xx,MN,7 years,0.0
15000.0,2009-05-06, ,722.0,35.21%,328xx,FL,10+ years,0.0
4000.0,2008-11-05,Please help 19 yrs old!,522.0,2.07%,190xx,PA,1 year,0.0
7000.0,2008-02-22,JKL,616.0,23.31%,301xx,GA,< 1 year,0.0
6000.0,2008-03-06,other,623.0,0.92%,018xx,MA,10+ years,0.0
20000.0,2007-10-17,Pay Off Debt,677.0,17.5%,217xx,MD,9 years,0.0
25000.0,2008-02-10,Diaz755,565.0,1.47%,913xx,CA,2 years,0.0
15000.0,2008-12-06,Refinance Credit Cards,672.0,40.27%,926xx,CA,< 1 year,0.0
7500.0,2008-05-30,Pay off debt,399.0,0.58%,658xx,MO,5 years,0.0
6000.0,2008-06-02, ,772.0,41.25%,250xx,WV,2 years,0.0
25000.0,2009-04-27,pay off cc,611.0,21.5%,791xx,TX,10+ years,0.0
5000.0,2008-03-20,home_improvement,604.0,9999%,103xx,NY,< 1 year,0.0
6000.0,2009-02-18,HELP THE LITTLE GUY,461.0,4.29%,985xx,WA,4 years,0.0
6000.0,2008-06-06,graduate school,599.0,66.24%,185xx,PA,1 year,0.0
12000.0,2008-02-13,consolidate debt,666.0,18.13%,293xx,SC,< 1 year,0.0
2000.0,2009-04-28,medical,438.0,18.12%,201xx,VA,2 years,0.0
4000.0,2008-08-24,new/business,577.0,12.23%,302xx,GA,10+ years,0.0
1500.0,2009-02-17, ,690.0,2%,481xx,MI,1 year,0.0
20000.0,2007-12-06,major_purchase,715.0,5.55%,335xx,FL,4 years,0.0
5000.0,2008-03-22,personal,546.0,0%,647xx,MO,< 1 year,0.0
3000.0,2008-12-10,Personal,472.0,4.68%,708xx,LA,< 1 year,0.0
15000.0,2009-03-06,Debt consolidation,506.0,51.21%,652xx,MO,2 years,0.0
3000.0,2008-06-29,Looking to purchase a motocycle ,474.0,0%,301xx,GA,1 year,0.0
3000.0,2008-05-01,personal loan  can you help,458.0,7.53%,191xx,PA,8 years,0.0
6000.0,2009-05-14,Consolidate debt and pay off medical ,597.0,8%,397xx,MS,2 years,0.0
1500.0,2008-12-29,To get out of debt,612.0,22.99%,975xx,OR,< 1 year,0.0
5000.0,2009-04-27,wedding,664.0,58.43%,606xx,IL,2 years,0.0
5000.0,2009-01-19,"The introductory 0% interest rate on my $5,000 credit card will expire soon, and I would like to do a balance transfer to lending club with repayment in 3 years.",674.0,24.68%,841xx,UT,< 1 year,0.0
7500.0,2007-12-06,debt_consolidation,627.0,35.73%,136xx,NY,10+ years,0.0
5000.0,2007-09-26,KEwers,468.0,14.55%,073xx,NJ,< 1 year,0.0
8000.0,2009-01-14,A shoulder to lean on,519.0,1.76%,233xx,VA,< 1 year,0.0
8000.0,2007-12-10,down payment,782.0,0.68%,305xx,GA,6 years,0.0
3000.0,2008-06-09,new car,586.0,18.12%,631xx,MO,2 years,0.0
5000.0,2009-01-20,credit cards,591.0,2.44%,230xx,VA,3 years,0.0
10000.0,2008-12-30,loan #1,529.0,72%,907xx,CA,5 years,0.0
2000.0,2009-02-24,Jennys,572.0,9.69%,207xx,MD,3 years,0.0
5000.0,2007-10-02,hearing for a school counselor,475.0,13.29%,769xx,TX,10+ years,0.0
3000.0,2008-01-13,manykids,428.0,4.25%,662xx,KS,2 years,0.0
3000.0,2008-08-13,Personal,641.0,3.27%,152xx,PA,10+ years,0.0
24000.0,2009-03-14, ,702.0,2.18%,925xx,CA,7 years,0.0
1000.0,2008-02-09,techis,514.0,36.48%,902xx,CA,< 1 year,0.0
3000.0,2008-11-11,Getting out of a high interest card,795.0,14.29%,100xx,NY,6 years,0.0
3000.0,2009-05-03,playing catch up,473.0,15.33%,631xx,MO,1 year,0.0
6000.0,2008-06-18,Trying to stay a float!,451.0,31.1%,467xx,IN,5 years,0.0
10000.0,2009-02-02,Credit Repair,446.0,10.3%,906xx,CA,4 years,0.0
15000.0,2008-07-22,Need loan for wedding expenses,681.0,0.86%,921xx,CA,1 year,0.0
6000.0,2009-03-13, ,703.0,1.67%,329xx,FL,2 years,0.0
6500.0,2008-06-27,Protege,0.0,1.64%,168xx,PA,5 years,0.0
3000.0,2008-02-08,mstewart,573.0,17.52%,706xx,LA,3 years,0.0
12000.0,2007-12-12,mscouture,501.0,10.92%,302xx,GA,< 1 year,0.0
10000.0,2008-11-07, ,738.0,34.53%,255xx,WV,3 years,0.0
1500.0,2009-04-04,Money to Help Myself and Others,654.0,15.25%,472xx,IL,1 year,0.0
10000.0,2009-01-24,Preparing for the Future,666.0,1.86%,303xx,GA,1 year,0.0
5000.0,2009-04-23,Home Loan,471.0,9.1%,293xx,SC,5 years,0.0
25000.0,2009-04-05,"$25,000 Loan Needed",635.0,10.73%,297xx,SC,4 years,0.0
15000.0,2008-03-21,Personal,697.0,5.67%,787xx,TX,4 years,0.0
15000.0,2009-01-13,Victim in $ crisis after being assaulted,470.0,22.12%,852xx,AZ,4 years,0.0
14000.0,2008-12-12,Rare Manuscript,785.0,0%,100xx,NY,5 years,0.0
5000.0,2009-05-09,Cindy's Loan,479.0,7.35%,958xx,CA,10+ years,0.0
12500.0,2008-10-15,Securing the future with stability ,644.0,16.83%,331xx,FL,2 years,0.0
10000.0,2008-03-31,fresh start,484.0,20.89%,462xx,IN,9 years,0.0
4000.0,2008-04-08,Tuition and Books,406.0,0.67%,613xx,IL,< 1 year,0.0
5000.0,2008-03-31,Car Loan,684.0,11.22%,902xx,CA,6 years,0.0
15000.0,2009-01-05,Improvements,571.0,15.41%,890xx,NV,8 years,0.0
15000.0,2008-07-10,Consolidating high interest credit cards,651.0,6.66%,220xx,VA,1 year,0.0
5000.0,2009-02-13,Need Working Capital for Inventory,641.0,0.52%,900xx,CA,6 years,0.0
5000.0,2009-02-14,My Loan,658.0,16.71%,852xx,AZ,10+ years,0.0
5000.0,2008-10-14,Need cash to get us through ,448.0,1.6%,234xx,VA,1 year,0.0
6000.0,2008-12-01,Help keep family together,470.0,0%,430xx,OH,6 years,0.0
25000.0,2009-04-21,Debt free,669.0,10.76%,376xx,WA,< 1 year,0.0
2500.0,2009-01-09,Down In The Dirt,615.0,20.11%,323xx,FL,3 years,0.0
5000.0,2009-04-06,landscape,551.0,15.4%,954xx,CA,5 years,0.0
3000.0,2009-04-21, ,711.0,30.76%,481xx,MI,3 years,0.0
20000.0,2009-05-08,consolidate high interest credit cards,692.0,36.88%,936xx,CA,10+ years,0.0
5000.0,2008-06-16,Purchase 2004 Kia Spectra,778.0,0%,199xx,DE,2 years,0.0
7500.0,2008-06-23,Need A Fence and Security System,472.0,0%,661xx,KS,2 years,0.0
15000.0,2009-01-02,Debt Consolidation - Breaking the Cycle!,613.0,25.27%,209xx,MD,2 years,0.0
10000.0,2009-04-21,sophmore year loan,659.0,1%,935xx,CA,< 1 year,0.0
10000.0,2009-04-09,BILL CONSOLIDATION LOAN,473.0,2.94%,300xx,GA,10+ years,0.0
3000.0,2009-04-01, ,707.0,27.03%,631xx,MO,6 years,0.0
3000.0,2008-10-13,HELP! Fell behind cant get ahead!,579.0,25.4%,857xx,AZ,4 years,0.0
15000.0,2008-12-16,Reduce Credit Card Rates,682.0,25.45%,481xx,MI,1 year,0.0
10000.0,2009-01-28,help maddog,621.0,31.45%,930xx,CA,10+ years,0.0
25000.0,2008-03-19,business expansion,731.0,53.23%,442xx,OH,< 1 year,0.0
3500.0,2009-02-24,28' Home Trailer Purchase,530.0,0%,323xx,FL,1 year,0.0
1500.0,2008-10-13,new place..need to cover moving expenses,627.0,1.94%,010xx,MA,< 1 year,0.0
5000.0,2008-01-15,lewis67,455.0,20.4%,283xx,NC,9 years,0.0
4000.0,2009-01-28,My dads Funeral,516.0,0%,104xx,NY,2 years,0.0
20000.0,2009-02-15, ,621.0,18.4%,953xx,CA,1 year,0.0
1000.0,2008-01-02,Education Help,528.0,350%,455xx,OH,< 1 year,0.0
20000.0,2009-03-09,building a future,798.0,1.5%,076xx,NJ,6 years,0.0
1500.0,2009-04-24,Better my credit score,0.0,6.5%,293xx,SC,< 1 year,0.0
3000.0,2008-02-15,other,685.0,2.56%,967xx,HI,4 years,0.0
3000.0,2008-04-24,medical expenses: wife needs surgery,632.0,28.1%,785xx,TX,< 1 year,0.0
5000.0,2008-12-29,Had baby ,556.0,10.6%,956xx,CA,4 years,0.0
1000.0,2009-02-21,Paying off bills,613.0,8.29%,955xx,CA,< 1 year,0.0
5000.0,2008-07-13,First home for a Second Chancer,528.0,0%,440xx,OH,< 1 year,0.0
25000.0,2009-04-13,I need Help Consolidating Credit Cards,671.0,59.91%,307xx,GA,10+ years,0.0
500.0,2007-12-21,wallyboy,546.0,0%,941xx,CA,2 years,0.0
15000.0,2009-04-12,other ,482.0,0%,117xx,NY,2 years,0.0
10000.0,2008-03-16,other,634.0,2.22%,174xx,PA,< 1 year,0.0
2500.0,2007-11-18,tiff,436.0,24.96%,464xx,IN,7 years,0.0
20000.0,2008-02-10,misskittilee,514.0,0%,372xx,TN,1 year,0.0
4000.0,2008-09-04,Purchasing a secondary vehicle,621.0,9.68%,442xx,OH,6 years,0.0
1500.0,2008-11-01,Personal Loan,519.0,0%,937xx,CA,3 years,0.0
20000.0,2009-05-06,Pay off Debts,649.0,17.7%,856xx,AZ,10+ years,0.0
5000.0,2007-11-29,BlueMax,615.0,21.16%,631xx,MO,10+ years,0.0
13000.0,2008-02-24,enterx12,639.0,14.7%,109xx,NY,10+ years,0.0
5800.0,2009-02-22,Help me get out of debt faster!,662.0,8.38%,773xx,TX,6 years,0.0
6000.0,2008-01-13,simonmaria,673.0,22.2%,604xx,IL,< 1 year,0.0
7500.0,2008-07-31,Refinancing credit card at a better rate,678.0,11.73%,339xx,FL,9 years,0.0
7500.0,2008-04-08,Consolidate Debt ,559.0,40.05%,773xx,TX,4 years,0.0
25000.0,2008-12-12,American Bed and Breakfast in Germany,652.0,21.38%,091xx,NY,8 years,0.0
8500.0,2009-01-21, ,599.0,46.04%,259xx,WV,6 years,0.0
2000.0,2008-04-17,Personal,481.0,23.68%,083xx,NJ,6 years,0.0
3000.0,2009-03-11,consolidate debt,581.0,12.94%,989xx,WA,6 years,0.0
8000.0,2008-02-04,debt_consolidation,654.0,32%,770xx,TX,1 year,0.0
5000.0,2009-01-05,Credit card debts refinancing,682.0,28.17%,972xx,OR,2 years,0.0
5000.0,2007-12-01,Mike2055,648.0,19.24%,852xx,AZ,6 years,0.0
9000.0,2008-03-08,HOME PURCHASE AND REPAIRS,506.0,0%,233xx,VA,10+ years,0.0
12000.0,2009-03-27, ,683.0,33.11%,945xx,CA,2 years,0.0
10000.0,2007-12-12,debt_consolidation,700.0,23.9%,214xx,MD,4 years,0.0
3500.0,2009-04-17,Wanting to Establish my credit. ,544.0,1.33%,618xx,IL,2 years,0.0
5000.0,2009-03-22,credit card pay,486.0,0%,852xx,AZ,5 years,0.0
8000.0,2009-04-13, ,733.0,1.73%,482xx,MI,5 years,0.0
25000.0,2008-03-10,Needing a 2nd chance!,529.0,32.31%,640xx,MO,6 years,0.0
5000.0,2009-01-21,Family Room Remodel,804.0,0.61%,303xx,GA,10+ years,0.0
12000.0,2009-01-26, ,618.0,23.47%,773xx,TX,4 years,0.0
20000.0,2008-01-04,loan consolidation,691.0,19.64%,331xx,FL,< 1 year,0.0
25000.0,2008-12-11,Personal ,712.0,32.01%,350xx,AL,3 years,0.0
25000.0,2008-01-14,rubyruby,0.0,0%,565xx,MN,10+ years,0.0
8000.0,2009-05-14,Educational Expences,449.0,0%,787xx,TX,1 year,0.0
25000.0,2008-02-15,hiltrev,647.0,17.48%,019xx,MA,10+ years,0.0
7500.0,2008-03-21,Credit Help,433.0,20.67%,928xx,CA,< 1 year,0.0
7500.0,2008-06-06,Debt Consolidation,630.0,33.77%,335xx,FL,4 years,0.0
6500.0,2009-01-27,Want to Pay Off Credit Cards,674.0,20.06%,622xx,IL,4 years,0.0
3000.0,2008-07-13,Equipment for Small Business,507.0,12.43%,080xx,NJ,10+ years,0.0
6000.0,2008-12-16,Our first house,728.0,32.94%,937xx,CA,9 years,0.0
12000.0,2008-12-30,business loan,536.0,5.61%,871xx,NM,2 years,0.0
12000.0,2007-10-20,Crazyshaggy2004,464.0,35.33%,636xx,MO,1 year,0.0
20000.0,2007-12-03,justkell,628.0,12.91%,119xx,NY,5 years,0.0
25000.0,2008-04-07,hope to restart my life,683.0,34.11%,383xx,TN,6 years,0.0
10000.0,2008-03-10,major_purchase,690.0,1%,787xx,TX,< 1 year,0.0
9200.0,2008-11-24, ,730.0,1.37%,806xx,CO,3 years,0.0
6500.0,2008-08-06,MORE INVENTORY FOR BUSINESS,580.0,1.2%,936xx,CA,2 years,0.0
15300.0,2009-03-21, ,699.0,31.05%,750xx,TX,4 years,0.0
4000.0,2007-10-15,destind,0.0,0%,325xx,FL,< 1 year,0.0
10000.0,2008-12-11,Tim,709.0,32.55%,547xx,WI,10+ years,0.0
1000.0,2009-04-29,"Need a loan quick, today or tomorrow",542.0,12.84%,725xx,AR,2 years,0.0
10000.0,2008-11-04,CAR LOAN,476.0,0.94%,640xx,MO,9 years,0.0
7500.0,2008-07-29,Investing in education,537.0,33.41%,606xx,IL,< 1 year,0.0
20000.0,2009-04-20,gerardtpm,719.0,22.96%,333xx,FL,2 years,0.0
7500.0,2008-06-13,al's loan,508.0,12.29%,857xx,AZ,4 years,0.0
1000.0,2009-04-17,laptop and books,532.0,0%,328xx,FL,< 1 year,0.0
20000.0,2008-10-23,debt consolidation and taxes,466.0,4.9%,921xx,CA,2 years,0.0
8000.0,2009-02-02,Business loan,554.0,0%,860xx,AZ,5 years,0.0
